Date,Time,Temperature,Flow_Rate,Valve_Aperture,Static_Pressure,Suction_Pressure,Discharge_Pressure,Voltage,Current,Measured_Frequency,Active_Power,Reactive_Power,Apperent_Power,Phase_Voltage_Angle,Phase_Current_Angle,Cos_Phi,Power_Factor,Differential_Pressure,Head,Hydraulic_Power,Efficiency
12/27/2021,14:59:17,26.4,0,15,3.08,2.73,3.19,229.9,0.3,50.01,40.49,-9.96,70.01,11.1,11.4,0.97,0.57,0.46,4.691,0,0
12/27/2021,14:59:18,26.4,0,15,3.08,2.73,3.198,229.9,0.3,50.01,40.49,-10.57,70.01,11.1,11.4,0.97,0.57,0.468,4.772,0,0
12/27/2021,14:59:18,26.4,0,15,3.08,2.73,3.188,229.9,0.3,50.01,40.49,-10.57,70.82,11.1,11.4,0.97,0.57,0.458,4.67,0,0
12/27/2021,14:59:18,26.4,0,15,3.08,2.73,3.192,229.9,0.3,50.01,40.49,-10.57,70.82,11.1,12.1,0.97,0.57,0.462,4.711,0,0
12/27/2021,14:59:19,26.3,0,15,3.08,2.73,3.19,229.9,0.3,50.01,40.49,-10.57,70.82,12.1,12.1,0.97,0.57,0.46,4.691,0,0
12/27/2021,14:59:19,26.4,0,15,3.08,2.73,3.19,229.9,0.3,50.01,40.24,-10.57,70.82,12.1,12.1,0.97,0.57,0.46,4.691,0,0
12/27/2021,14:59:19,26.3,0,15,3.08,2.73,3.192,230.5,0.3,50.01,40.24,-10.57,70.82,12.1,12.1,0.97,0.57,0.462,4.711,0,0
12/27/2021,14:59:20,26.3,0,15,3.09,2.73,3.198,230.5,0.3,50.01,40.24,-10.63,70.82,12.1,12.1,0.97,0.58,0.468,4.772,0,0
12/27/2021,14:59:20,26.4,0,15.25,3.08,2.73,3.188,230.5,0.3,50.01,40.24,-10.63,70.82,12.1,12.1,0.97,0.58,0.458,4.67,0,0
12/27/2021,14:59:20,26.4,0,15.25,3.09,2.73,3.192,230.5,0.3,50.01,40.24,-10.63,70.68,12.1,12,0.97,0.58,0.462,4.711,0,0
12/27/2021,14:59:21,26.4,0,15.25,3.08,2.73,3.19,230.5,0.3,50.01,40.24,-10.63,70.68,12,12,0.97,0.58,0.46,4.691,0,0
12/27/2021,14:59:21,26.4,0,15.25,3.08,2.73,3.19,230.5,0.3,50.01,40.24,-10.63,70.68,12,12,0.97,0.58,0.46,4.691,0,0
12/27/2021,14:59:22,26.4,0,15.25,3.08,2.73,3.19,230.5,2.31,50.01,39.97,-10.63,70.68,12,12,0.97,0.58,0.46,4.691,0,0
12/27/2021,14:59:22,26.3,0,15.25,3.08,2.73,3.182,230.5,0.3,50.01,39.97,-10.63,70.68,12,12,0.97,0.58,0.452,4.609,0,0
12/27/2021,14:59:22,26.4,0,15.25,3.08,2.73,3.192,230.5,0.3,50.01,39.97,-9.82,70.68,12,12,0.97,0.57,0.462,4.711,0,0
12/27/2021,14:59:23,26.4,0,15.25,3.08,2.73,3.195,230.5,0.3,50.01,39.97,-9.82,70.37,12,12,0.97,0.57,0.465,4.742,0,0
12/27/2021,14:59:23,26.4,0,15.5,3.09,2.73,3.188,230.5,0.3,50.01,39.97,-9.82,70.37,12,11.1,0.97,0.57,0.458,4.67,0,0
12/27/2021,14:59:23,26.3,0,15.5,3.08,2.73,3.192,230.5,0.3,50.01,39.97,-9.82,70.37,10.8,11.1,0.97,0.57,0.462,4.711,0,0
12/27/2021,14:59:24,26.4,0,15.5,3.08,2.73,3.192,230.5,0.3,50.01,40.36,-9.82,70.37,10.8,11.1,0.97,0.57,0.462,4.711,0,0
12/27/2021,14:59:24,26.3,0,15.5,3.08,2.73,3.192,230.2,0.31,50.01,40.36,-9.82,70.37,10.8,11.1,0.97,0.57,0.462,4.711,0,0
12/27/2021,14:59:24,26.4,0,15.5,3.08,2.73,3.192,230.2,0.31,50.01,40.36,-9.68,70.37,10.8,11.1,0.97,0.57,0.462,4.711,0,0
12/27/2021,14:59:25,26.4,0,15.5,3.09,2.73,3.19,230.2,0.31,50.01,40.36,-9.68,70.37,10.8,11.1,0.97,0.57,0.46,4.691,0,0
12/27/2021,14:59:25,26.4,0,15.5,3.09,2.73,3.192,230.2,0.31,50.01,40.36,-9.68,70.94,10.8,10.7,0.97,0.57,0.462,4.711,0,0
12/27/2021,14:59:25,26.4,0,15.5,3.08,2.73,3.195,230.2,0.31,50.01,40.36,-9.68,70.94,10.7,10.7,0.97,0.57,0.465,4.742,0,0
12/27/2021,14:59:26,26.3,0,15.75,3.09,2.73,3.195,230.2,0.31,50.01,40.36,-9.68,70.94,10.7,10.7,0.97,0.57,0.465,4.742,0,0
12/27/2021,14:59:26,26.3,0,15.75,3.09,2.73,3.192,229.2,0.31,50.01,40.74,-9.68,70.94,10.7,10.7,0.97,0.57,0.462,4.711,0,0
12/27/2021,14:59:26,26.4,0,15.75,3.08,2.73,3.195,229.2,0.31,50,40.74,-9.68,70.94,10.7,10.7,0.97,0.57,0.465,4.742,0,0
12/27/2021,14:59:27,26.4,0,15.75,3.08,2.73,3.192,229.2,0.31,50,40.74,-9.47,70.94,10.7,10.7,0.97,0.58,0.462,4.711,0,0
12/27/2021,14:59:27,26.4,0,15.75,3.08,2.73,3.192,229.2,0.31,50,40.74,-9.47,70.94,10.7,10.7,0.97,0.58,0.462,4.711,0,0
12/27/2021,14:59:27,26.4,0,15.75,3.09,2.73,3.192,229.2,0.31,50,40.74,-9.47,72.38,10.7,10.5,0.97,0.58,0.462,4.711,0,0
12/27/2021,14:59:28,26.4,0,15.75,3.08,2.73,3.19,229.2,0.31,50,40.74,-9.47,72.38,10.5,10.5,0.97,0.58,0.46,4.691,0,0
12/27/2021,14:59:28,26.4,0,15.75,3.08,2.73,3.188,229.2,0.31,50,40.72,-9.47,72.38,10.5,10.5,0.97,0.58,0.458,4.67,0,0
12/27/2021,14:59:29,26.3,0,16,3.08,2.73,3.19,230.9,2.31,50,40.72,-9.47,72.38,10.5,10.5,0.97,0.58,0.46,4.691,0,0
12/27/2021,14:59:29,26.4,0,16,3.09,2.73,3.192,230.9,0.31,50.01,40.72,-9.6,72.38,10.5,10.5,0.97,0.58,0.462,4.711,0,0
12/27/2021,14:59:29,26.4,0,16,3.08,2.73,3.195,230.9,0.31,50.01,40.72,-9.6,72.38,10.5,10.5,0.98,0.58,0.465,4.742,0,0
12/27/2021,14:59:30,26.4,0,16,3.08,2.73,3.19,230.9,0.31,50.01,40.72,-9.6,71.98,10.5,10.5,0.98,0.58,0.46,4.691,0,0
12/27/2021,14:59:30,26.3,0,16,3.09,2.73,3.195,230.9,0.31,50.01,40.72,-9.6,71.98,9.6,9.9,0.98,0.58,0.465,4.742,0,0
12/27/2021,14:59:30,26.4,0,16,3.08,2.73,3.192,230.9,0.31,50.01,40.72,-9.6,71.98,9.6,9.9,0.98,0.58,0.462,4.711,0,0
12/27/2021,14:59:31,26.3,0,16,3.09,2.73,3.195,230.9,0.31,50.01,40.95,-9.6,71.98,9.6,9.9,0.98,0.58,0.465,4.742,0,0
12/27/2021,14:59:31,26.4,0,16,3.08,2.73,3.192,230.7,0.32,50.01,40.95,-9.6,71.98,9.6,9.9,0.98,0.58,0.462,4.711,0,0
12/27/2021,14:59:31,26.3,0,16.25,3.09,2.73,3.19,230.7,0.32,50,40.95,-9.14,71.98,9.6,9.9,0.98,0.57,0.46,4.691,0,0
12/27/2021,14:59:32,26.4,0,16.25,3.09,2.727,3.19,230.7,0.32,50,40.95,-9.14,71.98,9.6,9.9,0.98,0.57,0.463,4.721,0,0
12/27/2021,14:59:32,26.3,0,16.25,3.09,2.73,3.195,230.7,0.32,50,40.95,-9.14,72.99,9.6,9.1,0.98,0.57,0.465,4.742,0,0
12/27/2021,14:59:32,26.3,0,16.25,3.08,2.73,3.19,230.7,0.32,50,40.95,-9.14,72.99,9.1,9.1,0.98,0.57,0.46,4.691,0,0
12/27/2021,14:59:33,26.4,0,16.25,3.09,2.73,3.192,230.7,0.32,50,42.37,-9.14,72.99,9.1,9.1,0.98,0.57,0.462,4.711,0,0
12/27/2021,14:59:33,26.4,0,16.25,3.08,2.73,3.195,230.1,2.3,50,42.37,-9.14,72.99,9.1,9.1,0.98,0.57,0.465,4.742,0,0
12/27/2021,14:59:33,26.4,0,16.25,3.09,2.73,3.192,230.1,0.32,49.99,42.37,-9.14,72.99,9.1,9.1,0.98,0.57,0.462,4.711,0,0
12/27/2021,14:59:34,26.4,0,16.25,3.08,2.73,3.192,230.1,0.32,49.99,42.37,-9.08,72.99,9.1,9.1,0.98,0.57,0.462,4.711,0,0
12/27/2021,14:59:34,26.4,0,16.5,3.09,2.73,3.19,230.1,0.32,49.99,42.37,-9.08,74.25,9.1,9.1,0.98,0.57,0.46,4.691,0,0
12/27/2021,14:59:34,26.4,0,16.5,3.08,2.73,3.198,230.1,0.32,49.99,42.37,-9.08,74.25,9.1,9.7,0.98,0.57,0.468,4.772,0,0
12/27/2021,14:59:35,26.4,0,16.5,3.08,2.73,3.203,230.1,0.32,49.99,42.37,-9.08,74.25,9.7,9.7,0.98,0.57,0.473,4.823,0,0
12/27/2021,14:59:35,26.3,0,16.5,3.09,2.73,3.198,230.1,0.32,49.99,42.34,-9.08,74.25,9.7,9.7,0.98,0.57,0.468,4.772,0,0
12/27/2021,14:59:36,26.4,0,16.5,3.09,2.73,3.198,230.4,0.32,49.99,42.34,-9.08,74.25,9.7,9.7,0.98,0.57,0.468,4.772,0,0
12/27/2021,14:59:36,26.4,0,16.5,3.09,2.73,3.2,230.4,0.32,50,42.34,-9.13,74.25,9.7,9.7,0.98,0.57,0.47,4.792,0,0
